<<<<<<< HEAD
,username,email,first_name,last_name
,stu2024001,stu2024001@school.edu,Jeremy,Stitch
,stu2024002,stu2024002@school.edu,Quinton,Kocher
,stu2024003,stu2024003@school.edu,Lander,Busse
,stu2024004,stu2024004@school.edu,Badge,Busse
,stu2024005,stu2024005@school.edu,Daniel,Beresky
,stu2024006,stu2024006@school.edu,David,Beresky
,stu2024007,stu2024007@school.edu,Derek,Beresky
,stu2024008,stu2024008@school.edu,Ron,Allen
,stu2024009,stu2024009@school.edu,William,Arthur
,stu2024010,stu2024010@school.edu,Jeff,Bania
,stu2024011,stu2024011@school.edu,Thomas,Brown
,stu2024012,stu2024012@school.edu,Jeff,Clay
,stu2024013,stu2024013@school.edu,Greg,Hochstetler
,stu2024014,stu2024014@school.edu,Tim,Johnson
,stu2024015,stu2024015@school.edu,Eric,Johnson
,stu2024016,stu2024016@school.edu,Jerry,King
,stu2024017,stu2024017@school.edu,James,Lambright
,stu2024018,stu2024018@school.edu,Heath,Lambright
,stu2024019,stu2024019@school.edu,Rod,Linville
,stu2024020,stu2024020@school.edu,Brent,Lowe
,stu2024021,stu2024021@school.edu,Rex,Lowe
,stu2024022,stu2024022@school.edu,Brian,Miller
,stu2024023,stu2024023@school.edu,Frank,Oren
,stu2024024,stu2024024@school.edu,Matthew,Patsch
,stu2024025,stu2024025@school.edu,Chris,Ricker
,stu2024026,stu2024026@school.edu,Alan,Ripper
,stu2024027,stu2024027@school.edu,Adam,Ripper
,stu2024028,stu2024028@school.edu,Tim,Scheutzow
,stu2024029,stu2024029@school.edu,Jim,Surratt
,stu2024030,stu2024030@school.edu,George,Vermilyea
,stu2024031,stu2024031@school.edu,Michael,Winter
,stu2024032,stu2024032@school.edu,David,Winter
,stu2024033,stu2024033@school.edu,Bill,Bixby
,stu2024034,stu2024034@school.edu,Justin,Brenenstuhl
,stu2024035,stu2024035@school.edu,Bruce,Collier
,stu2024036,stu2024036@school.edu,Matthew,Hoert
,stu2024037,stu2024037@school.edu,Chad,Hoert
,stu2024038,stu2024038@school.edu,Joshua,Hoert
,stu2024039,stu2024039@school.edu,Zach,Misenko
,stu2024040,stu2024040@school.edu,Adam,Misenko
,stu2024041,stu2024041@school.edu,Seth,Misenko
,stu2024042,stu2024042@school.edu,Rob,Cook
,stu2024043,stu2024043@school.edu,Shawn,Gebbie
,stu2024044,stu2024044@school.edu,Christopher,Conwill
,stu2024045,stu2024045@school.edu,David,Conwill
,stu2024046,stu2024046@school.edu,David,Gillespie
,stu2024047,stu2024047@school.edu,John Mark,Hershberger
,stu2024048,stu2024048@school.edu,Kurt,Kramer
,stu2024049,stu2024049@school.edu,Kenton,Kramer
,stu2024050,stu2024050@school.edu,Tommy,Lamborn
,stu2024051,stu2024051@school.edu,David,Lamborn
,stu2024052,stu2024052@school.edu,Michael,Leach
,stu2024053,stu2024053@school.edu,Jonathan,Sommer
,stu2024054,stu2024054@school.edu,Timothy,McQuerry
,stu2024055,stu2024055@school.edu,Todd,Meridith
,stu2024056,stu2024056@school.edu,Sean,Miller
,stu2024057,stu2024057@school.edu,Reed,Monegan
,stu2024058,stu2024058@school.edu,Steve,Nowack
,stu2024059,stu2024059@school.edu,Matthew,Oates
,stu2024060,stu2024060@school.edu,Kevin,Payne
,stu2024061,stu2024061@school.edu,Rick,Powers
,stu2024062,stu2024062@school.edu,Joshua,Powers
,stu2024063,stu2024063@school.edu,Ryan,Roberts
,stu2024064,stu2024064@school.edu,Darin,Rosenvold
,stu2024065,stu2024065@school.edu,Jeff,Roth
,stu2024066,stu2024066@school.edu,Jonathan,Roth
,stu2024067,stu2024067@school.edu,John,Sebestyen
,stu2024068,stu2024068@school.edu,David,Snyder
,stu2024069,stu2024069@school.edu,Timothy,Work
,stu2024070,stu2024070@school.edu,Andrew,Male
,stu2024071,stu2024071@school.edu,William,Surgeon
,stu2024072,stu2024072@school.edu,Ben,toot
,stu2024073,stu2024073@school.edu,Michael,Smith
,stu2024074,stu2024074@school.edu,Robert,Ward
,stu2024075,stu2024075@school.edu,Bob,Weinerheimer
,stu2024076,stu2024076@school.edu,Jeff,Williams
,stu2024077,stu2024077@school.edu,Bo,Wilson
,stu2024078,stu2024078@school.edu,Bill,Wilson
,stu2024079,stu2024079@school.edu,Brian,Wolf
,stu2024080,stu2024080@school.edu,Jay,Hardback
,stu2024081,stu2024081@school.edu,Joe,Phillips
,stu2024082,stu2024082@school.edu,Linden,Phillips
,stu2024083,stu2024083@school.edu,Tom,Smith
,stu2024084,stu2024084@school.edu,Thomas,Ellison
,stu2024085,stu2024085@school.edu,Ben,Legg
,stu2024086,stu2024086@school.edu,Marty,Walker
,stu2024087,stu2024087@school.edu,Bobby,Scandlon
,stu2024088,stu2024088@school.edu,Patrick,Scandlon
,stu2024089,stu2024089@school.edu,Willard,Scandlon
,stu2024090,stu2024090@school.edu,Austin,Scandlon
,stu2024091,stu2024091@school.edu,Jimmy,Myers
,stu2024092,stu2024092@school.edu,Tony,Dulgar
,stu2024093,stu2024093@school.edu,Clifford,Phillips
,stu2024094,stu2024094@school.edu,Scott,Phillips
,stu2024095,stu2024095@school.edu,Rodge,Campbel
,stu2024096,stu2024096@school.edu,Matthew,Perkins
,stu2024097,stu2024097@school.edu,Leroy,Meadows
,stu2024098,stu2024098@school.edu,John,Mullins
,stu2024099,stu2024099@school.edu,Clifford,Roop
,stu2024100,stu2024100@school.edu,Timothy,Roop
,stu2024101,stu2024101@school.edu,Kim,Roose
